,Austria_PDs,Belgium_PDs,Croatia_PDs,Cyprus_PDs,Estonia_PDs,Finland_PDs,France_PDs,Germany_PDs,Greece_PDs,Ireland_PDs,Italy_PDs,Latvia_PDs,Lithuania_PDs,Luxembourg_PDs,Malta_PDs,Netherlands_PDs,Portugal_PDs,Slovakia_PDs,Slovenia_PDs,Spain_PDs,Austria_Weights,Belgium_Weights,Croatia_Weights,Cyprus_Weights,Estonia_Weights,Finland_Weights,France_Weights,Germany_Weights,Greece_Weights,Ireland_Weights,Italy_Weights,Latvia_Weights,Lithuania_Weights,Luxembourg_Weights,Malta_Weights,Netherlands_Weights,Portugal_Weights,Slovakia_Weights,Slovenia_Weights,Spain_Weights
2010-01,0.7988,0.7185,0.645,1.3289,0.0,0.0013,0.3581,0.2109,23.6258,0.8393,1.3867,1.0813,0.2297,0.0104,5.741,0.0421,2.5466,98.2333,0.3518,0.8151,0.030254138542736515,0.036830459190866714,0.0,0.0019000005519238371,0.0,0.0197633502009524,0.2078609798877747,0.2716246529916033,0.02439027146785396,0.019950345947068005,0.17355376725161123,0.0,0.0,0.003975563358151728,0.0006323862126440967,0.06681927927678623,0.018759177996896786,0.00595390856605875,0.003702695724399653,0.11402902283267219
2010-02,19.5087,0.7158,0.6498,1.3758,0.0002,0.0015,12.1965,0.23,26.1466,22.1426,1.433,1.1688,0.2788,0.0113,45.3514,2.0996,2.8226,98.1606,0.3657,19.9948,0.030254138542736515,0.036830459190866714,0.0,0.0019000005519238371,0.0,0.0197633502009524,0.2078609798877747,0.2716246529916033,0.02439027146785396,0.019950345947068005,0.17355376725161123,0.0,0.0,0.003975563358151728,0.0006323862126440967,0.06681927927678623,0.018759177996896786,0.00595390856605875,0.003702695724399653,0.11402902283267219
2010-03,22.1502,0.7726,17.483,25.311,0.0003,0.086,14.5615,8.7223,28.1479,25.8404,26.793,19.6527,10.9403,0.0115,49.1445,3.0382,34.7591,1.8951,12.1766,23.2084,0.030254138542736515,0.036830459190866714,0.0,0.0019000005519238371,0.0,0.0197633502009524,0.2078609798877747,0.2716246529916033,0.02439027146785396,0.019950345947068005,0.17355376725161123,0.0,0.0,0.003975563358151728,0.0006323862126440967,0.06681927927678623,0.018759177996896786,0.00595390856605875,0.003702695724399653,0.11402902283267219
2010-04,21.3341,0.9404,25.0799,31.3687,0.0004,0.0821,17.048,10.7494,33.3898,42.052,32.6151,24.5298,15.9108,0.0182,53.6855,4.8878,44.8467,1.9485,15.359,26.4703,0.030254138542736515,0.036830459190866714,0.0,0.0019000005519238371,0.0,0.0197633502009524,0.2078609798877747,0.2716246529916033,0.02439027146785396,0.019950345947068005,0.17355376725161123,0.0,0.0,0.003975563358151728,0.0006323862126440967,0.06681927927678623,0.018759177996896786,0.00595390856605875,0.003702695724399653,0.11402902283267219
2010-05,22.3927,1.2088,24.4847,34.2214,0.0003,0.0874,18.6547,11.5443,35.4386,43.343,34.7307,26.0954,15.4423,0.0257,47.0999,6.1343,47.8058,2.3265,16.8843,29.0206,0.031010492882492458,0.037751221737282174,0.0,0.0019475006207476872,0.0,0.02025743452834091,0.2130575104048132,0.2784152771828919,0.0,0.020449105173524974,0.17789261645917737,0.0,0.0,0.004074952557241473,0.0006481958862746825,0.06848976319385333,0.019228157990102163,0.006102756452640858,0.0037952632247430997,0.11687975170587381
2010-06,22.3179,1.2181,24.4174,35.4765,0.0003,0.0903,18.0199,11.4584,34.8009,42.6728,34.6223,25.3308,17.3055,0.0242,46.5259,5.9152,47.923,2.3233,16.7589,29.2363,0.03121433253172051,0.038095831500188776,0.0,0.001955877553101267,0.0,0.02033169176113698,0.21439371045740951,0.27969622139100453,0.0,0.02056044785406913,0.17961266623426486,0.0,0.0,0.0040802078323058585,0.0006526229932340178,0.06880409693629241,0.01936811421213953,0.0,0.0038117683646749835,0.11742241037845774
2010-07,23.9587,1.3891,25.9215,39.9477,0.0005,0.1199,18.5628,11.985,39.976,44.028,33.3297,36.9098,17.7534,0.0292,40.6937,5.2971,47.5262,5.5908,16.9836,33.4502,0.03121526234539923,0.03810439284232676,0.0,0.001955819090378037,0.0,0.020331382280073706,0.2143803817759421,0.2796913616692838,0.0,0.020562379458692367,0.17963519493293695,0.0,0.0,0.0040801859299530036,0.0006526028821341286,0.0687930063055167,0.019369601693631448,0.0,0.003811693529195596,0.11741673526453618
2010-08,23.932,1.3352,25.8679,40.7392,0.0005,0.0951,18.348,11.64,39.88,43.1297,32.8501,36.6659,18.1566,0.0274,45.2777,5.2242,47.0632,5.0597,15.6304,32.5779,0.03121538935309084,0.03810710039624547,0.0,0.001955772467148513,0.0,0.020330946855666745,0.21436968182282234,0.279701905309042,0.0,0.020563756432617267,0.17962857435822172,0.0,0.0,0.0040801574166593815,0.0006528121084453366,0.06879150751599432,0.019372426849329542,0.0,0.003811605258867622,0.11741836385584896
2010-09,23.3814,1.2198,26.0472,40.8837,0.0005,0.0843,16.7757,10.9254,38.3842,42.4431,32.3806,27.0525,19.3635,0.0238,48.9091,4.4984,46.6269,3.9358,13.1873,31.2829,0.031010492882492458,0.037751221737282174,0.0,0.0019475006207476872,0.0,0.02025743452834091,0.2130575104048132,0.2784152771828919,0.0,0.020449105173524974,0.17789261645917737,0.0,0.0,0.004074952557241473,0.0006481958862746825,0.06848976319385333,0.019228157990102163,0.006102756452640858,0.0037952632247430997,0.11687975170587381
2010-10,14.4184,0.4281,24.5527,35.6125,0.0009,0.0809,8.7107,5.726,20.128,23.7137,24.7314,20.4268,24.5948,0.0075,42.3317,2.2504,34.3693,0.6274,11.9485,24.2038,0.031010492882492458,0.037751221737282174,0.0,0.0019475006207476872,0.0,0.02025743452834091,0.2130575104048132,0.2784152771828919,0.0,0.020449105173524974,0.17789261645917737,0.0,0.0,0.004074952557241473,0.0006481958862746825,0.06848976319385333,0.019228157990102163,0.006102756452640858,0.0037952632247430997,0.11687975170587381
